rs=2982.054 [0.09%]  Tot:0.29s TF:0.06s  xH=1.000e+00 xHe=7.886e-02  hep=0.4822 lep=0.2667 lee=0.1877 hed=0.0621 rsl=0.0063 out=1.0051  
rs=2946.483 [0.27%]  Tot:0.25s TF:0.06s  xH=1.000e+00 xHe=8.099e-02  hep=0.5470 lep=0.2199 lee=0.1745 hed=0.0561 rsl=0.0071 out=1.0047  
rs=2911.337 [0.45%]  Tot:0.25s TF:0.06s  xH=1.000e+00 xHe=8.093e-02  hep=0.5799 lep=0.1956 lee=0.1682 hed=0.0533 rsl=0.0074 out=1.0044  
rs=2876.609 [0.63%]  Tot:0.25s TF:0.07s  xH=1.000e+00 xHe=8.082e-02  hep=0.5994 lep=0.1817 lee=0.1636 hed=0.0519 rsl=0.0077 out=1.0043  
rs=2842.296 [0.82%]  Tot:0.25s TF:0.06s  xH=1.000e+00 xHe=8.068e-02  hep=0.6117 lep=0.1734 lee=0.1600 hed=0.0514 rsl=0.0078 out=1.0042  
rs=2808.393 [1.00%]  Tot:0.27s TF:0.06s  xH=1.000e+00 xHe=8.046e-02  hep=0.6197 lep=0.1683 lee=0.1570 hed=0.0513 rsl=0.0079 out=1.0042  
rs=2774.893 [1.18%]  Tot:0.25s TF:0.07s  xH=1.000e+00 xHe=8.015e-02  hep=0.6251 lep=0.1651 lee=0.1546 hed=0.0514 rsl=0.0079 out=1.0041  
rs=2741.794 [1.36%]  Tot:0.26s TF:0.06s  xH=1.000e+00 xHe=7.973e-02  hep=0.6290 lep=0.1631 lee=0.1525 hed=0.0516 rsl=0.0080 out=1.0041  
rs=2709.089 [1.54%]  Tot:0.26s TF:0.07s  xH=1.000e+00 xHe=7.918e-02  hep=0.6321 lep=0.1617 lee=0.1506 hed=0.0516 rsl=0.0080 out=1.0040  
rs=2676.774 [1.72%]  Tot:0.25s TF:0.06s  xH=1.000e+00 xHe=7.851e-02  hep=0.6347 lep=0.1606 lee=0.1490 hed=0.0516 rsl=0.0080 out=1.0040  
rs=2644.845 [1.90%]  Tot:0.26s TF:0.06s  xH=1.000e+00 xHe=7.772e-02  hep=0.6372 lep=0.1597 lee=0.1474 hed=0.0515 rsl=0.0080 out=1.0039  
rs=2613.296 [2.08%]  Tot:0.27s TF:0.06s  xH=1.000e+00 xHe=7.683e-02  hep=0.6397 lep=0.1588 lee=0.1459 hed=0.0513 rsl=0.0081 out=1.0039  
rs=2582.124 [2.27%]  Tot:0.26s TF:0.06s  xH=1.000e+00 xHe=7.584e-02  hep=0.6422 lep=0.1579 lee=0.1444 hed=0.0511 rsl=0.0081 out=1.0038  
rs=2551.324 [2.45%]  Tot:0.25s TF:0.06s  xH=1.000e+00 xHe=7.478e-02  hep=0.6448 lep=0.1571 lee=0.1429 hed=0.0508 rsl=0.0081 out=1.0037  
rs=2520.891 [2.63%]  Tot:0.27s TF:0.07s  xH=1.000e+00 xHe=7.365e-02  hep=0.6474 lep=0.1561 lee=0.1414 hed=0.0505 rsl=0.0082 out=1.0036  
rs=2490.821 [2.81%]  Tot:0.27s TF:0.06s  xH=1.000e+00 xHe=7.248e-02  hep=0.6501 lep=0.1552 lee=0.1400 hed=0.0501 rsl=0.0082 out=1.0036  
rs=2461.110 [2.99%]  Tot:0.26s TF:0.07s  xH=1.000e+00 xHe=7.126e-02  hep=0.6528 lep=0.1542 lee=0.1385 hed=0.0497 rsl=0.0082 out=1.0035  
rs=2431.753 [3.17%]  Tot:0.26s TF:0.06s  xH=1.000e+00 xHe=7.000e-02  hep=0.6555 lep=0.1532 lee=0.1371 hed=0.0494 rsl=0.0083 out=1.0034  
rs=2402.746 [3.35%]  Tot:0.25s TF:0.06s  xH=1.000e+00 xHe=6.870e-02  hep=0.6582 lep=0.1522 lee=0.1356 hed=0.0490 rsl=0.0083 out=1.0033  
rs=2374.085 [3.53%]  Tot:0.25s TF:0.06s  xH=1.000e+00 xHe=6.736e-02  hep=0.6610 lep=0.1513 lee=0.1341 hed=0.0485 rsl=0.0084 out=1.0033  
rs=2345.767 [3.72%]  Tot:0.25s TF:0.06s  xH=1.000e+00 xHe=6.599e-02  hep=0.6637 lep=0.1503 lee=0.1327 hed=0.0481 rsl=0.0084 out=1.0032  
rs=2317.786 [3.90%]  Tot:0.25s TF:0.06s  xH=1.000e+00 xHe=6.457e-02  hep=0.6665 lep=0.1493 lee=0.1312 hed=0.0477 rsl=0.0084 out=1.0031  
rs=2290.138 [4.08%]  Tot:0.26s TF:0.06s  xH=1.000e+00 xHe=6.311e-02  hep=0.6693 lep=0.1484 lee=0.1296 hed=0.0473 rsl=0.0085 out=1.0031  
rs=2262.821 [4.26%]  Tot:0.25s TF:0.06s  xH=1.000e+00 xHe=6.158e-02  hep=0.6721 lep=0.1475 lee=0.1282 hed=0.0468 rsl=0.0085 out=1.0030  
rs=2235.829 [4.44%]  Tot:0.26s TF:0.06s  xH=1.000e+00 xHe=5.999e-02  hep=0.6749 lep=0.1465 lee=0.1267 hed=0.0463 rsl=0.0085 out=1.0029  
rs=2209.160 [4.62%]  Tot:0.26s TF:0.06s  xH=1.000e+00 xHe=5.833e-02  hep=0.6777 lep=0.1455 lee=0.1252 hed=0.0459 rsl=0.0086 out=1.0029  
rs=2182.808 [4.80%]  Tot:0.26s TF:0.07s  xH=1.000e+00 xHe=5.657e-02  hep=0.6806 lep=0.1445 lee=0.1237 hed=0.0454 rsl=0.0086 out=1.0028  
rs=2156.771 [4.98%]  Tot:0.27s TF:0.07s  xH=1.000e+00 xHe=5.472e-02  hep=0.6835 lep=0.1435 lee=0.1223 hed=0.0449 rsl=0.0086 out=1.0027  
rs=2131.045 [5.17%]  Tot:0.26s TF:0.06s  xH=1.000e+00 xHe=5.273e-02  hep=0.6864 lep=0.1425 lee=0.1208 hed=0.0443 rsl=0.0087 out=1.0027  
rs=2105.625 [5.35%]  Tot:0.26s TF:0.06s  xH=1.000e+00 xHe=5.060e-02  hep=0.6893 lep=0.1415 lee=0.1193 hed=0.0438 rsl=0.0087 out=1.0026  
rs=2080.508 [5.53%]  Tot:0.25s TF:0.06s  xH=1.000e+00 xHe=4.829e-02  hep=0.6923 lep=0.1404 lee=0.1178 hed=0.0432 rsl=0.0088 out=1.0025  
rs=2055.692 [5.71%]  Tot:0.24s TF:0.06s  xH=1.000e+00 xHe=4.578e-02  hep=0.6954 lep=0.1394 lee=0.1163 hed=0.0426 rsl=0.0088 out=1.0025  
rs=2031.171 [5.89%]  Tot:0.26s TF:0.06s  xH=1.000e+00 xHe=4.301e-02  hep=0.6985 lep=0.1383 lee=0.1148 hed=0.0420 rsl=0.0088 out=1.0024  
rs=2006.942 [6.07%]  Tot:0.25s TF:0.07s  xH=1.000e+00 xHe=3.997e-02  hep=0.7016 lep=0.1372 lee=0.1133 hed=0.0414 rsl=0.0089 out=1.0023  
rs=1983.003 [6.25%]  Tot:0.25s TF:0.07s  xH=1.000e+00 xHe=3.660e-02  hep=0.7048 lep=0.1361 lee=0.1117 hed=0.0407 rsl=0.0089 out=1.0023  
rs=1959.349 [6.43%]  Tot:0.25s TF:0.07s  xH=1.000e+00 xHe=3.288e-02  hep=0.7084 lep=0.1351 lee=0.1099 hed=0.0398 rsl=0.0090 out=1.0022  
rs=1935.977 [6.62%]  Tot:0.26s TF:0.07s  xH=1.000e+00 xHe=2.881e-02  hep=0.7140 lep=0.1343 lee=0.1070 hed=0.0377 rsl=0.0090 out=1.0021  
rs=1912.884 [6.80%]  Tot:0.26s TF:0.07s  xH=1.000e+00 xHe=2.441e-02  hep=0.7209 lep=0.1319 lee=0.1043 hed=0.0357 rsl=0.0091 out=1.0020  
rs=1890.067 [6.98%]  Tot:0.26s TF:0.07s  xH=1.000e+00 xHe=1.977e-02  hep=0.7281 lep=0.1294 lee=0.1015 hed=0.0336 rsl=0.0092 out=1.0019  
rs=1867.522 [7.16%]  Tot:0.25s TF:0.07s  xH=1.000e+00 xHe=1.507e-02  hep=0.7358 lep=0.1267 lee=0.0985 hed=0.0315 rsl=0.0093 out=1.0017  
rs=1845.245 [7.34%]  Tot:0.25s TF:0.07s  xH=1.000e+00 xHe=1.056e-02  hep=0.7436 lep=0.1238 lee=0.0954 hed=0.0294 rsl=0.0094 out=1.0016  
rs=1823.235 [7.52%]  Tot:0.25s TF:0.06s  xH=9.999e-01 xHe=6.581e-03  hep=0.7514 lep=0.1206 lee=0.0925 hed=0.0275 rsl=0.0095 out=1.0015  
rs=1801.487 [7.70%]  Tot:0.25s TF:0.06s  xH=9.999e-01 xHe=3.483e-03  hep=0.7583 lep=0.1174 lee=0.0900 hed=0.0260 rsl=0.0096 out=1.0014  
rs=1779.998 [7.89%]  Tot:0.26s TF:0.07s  xH=9.999e-01 xHe=1.467e-03  hep=0.7639 lep=0.1144 lee=0.0882 hed=0.0252 rsl=0.0097 out=1.0014  
rs=1758.766 [8.07%]  Tot:0.25s TF:0.07s  xH=9.998e-01 xHe=4.510e-04  hep=0.7678 lep=0.1118 lee=0.0871 hed=0.0249 rsl=0.0097 out=1.0014  
rs=1737.787 [8.25%]  Tot:0.31s TF:0.07s  xH=9.997e-01 xHe=9.168e-05  hep=0.7703 lep=0.1099 lee=0.0864 hed=0.0250 rsl=0.0097 out=1.0014  
rs=1717.058 [8.43%]  Tot:0.33s TF:0.07s  xH=9.995e-01 xHe=1.116e-05  hep=0.7720 lep=0.1086 lee=0.0858 hed=0.0252 rsl=0.0098 out=1.0013  
rs=1696.576 [8.61%]  Tot:0.35s TF:0.07s  xH=9.993e-01 xHe=7.554e-07  hep=0.7734 lep=0.1078 lee=0.0850 hed=0.0253 rsl=0.0098 out=1.0013  
rs=1676.339 [8.79%]  Tot:0.28s TF:0.07s  xH=9.990e-01 xHe=2.800e-08  hep=0.7748 lep=0.1071 lee=0.0842 hed=0.0254 rsl=0.0098 out=1.0013  
rs=1656.343 [8.97%]  Tot:0.35s TF:0.07s  xH=9.985e-01 xHe=7.572e-10  hep=0.7762 lep=0.1066 lee=0.0834 hed=0.0254 rsl=0.0098 out=1.0013  
rs=1636.586 [9.15%]  Tot:0.34s TF:0.07s  xH=9.978e-01 xHe=1.118e-10  hep=0.7775 lep=0.1061 lee=0.0825 hed=0.0253 rsl=0.0098 out=1.0013  
rs=1617.064 [9.34%]  Tot:0.35s TF:0.07s  xH=9.967e-01 xHe=6.514e-11  hep=0.7787 lep=0.1058 lee=0.0817 hed=0.0253 rsl=0.0098 out=1.0013  
rs=1597.775 [9.52%]  Tot:0.29s TF:0.07s  xH=9.950e-01 xHe=5.330e-11  hep=0.7046 lep=0.0903 lee=0.1295 hed=0.0695 rsl=0.0091 out=1.0030  
rs=1578.717 [9.70%]  Tot:0.28s TF:0.07s  xH=9.925e-01 xHe=6.457e-11  hep=0.6928 lep=0.1385 lee=0.1062 hed=0.0562 rsl=0.0088 out=1.0024  
rs=1559.885 [9.88%]  Tot:0.29s TF:0.07s  xH=9.888e-01 xHe=1.747e-10  hep=0.7016 lep=0.1382 lee=0.1016 hed=0.0518 rsl=0.0089 out=1.0022  
rs=1541.279 [10.06%]  Tot:0.27s TF:0.07s  xH=9.832e-01 xHe=3.069e-10  hep=0.7056 lep=0.1391 lee=0.0991 hed=0.0493 rsl=0.0089 out=1.0020  
rs=1522.894 [10.24%]  Tot:0.29s TF:0.07s  xH=9.753e-01 xHe=2.735e-10  hep=0.7080 lep=0.1400 lee=0.0974 hed=0.0476 rsl=0.0090 out=1.0020  
rs=1504.728 [10.42%]  Tot:0.27s TF:0.07s  xH=9.642e-01 xHe=2.487e-10  hep=0.7099 lep=0.1407 lee=0.0961 hed=0.0463 rsl=0.0090 out=1.0020  
rs=1486.779 [10.60%]  Tot:0.27s TF:0.07s  xH=9.494e-01 xHe=2.271e-10  hep=0.7118 lep=0.1412 lee=0.0949 hed=0.0451 rsl=0.0090 out=1.0019  
rs=1469.045 [10.79%]  Tot:0.26s TF:0.07s  xH=9.306e-01 xHe=2.089e-10  hep=0.7137 lep=0.1415 lee=0.0937 hed=0.0440 rsl=0.0090 out=1.0019  
rs=1451.521 [10.97%]  Tot:0.26s TF:0.07s  xH=9.076e-01 xHe=2.193e-10  hep=0.7158 lep=0.1415 lee=0.0926 hed=0.0428 rsl=0.0090 out=1.0018  
rs=1434.207 [11.15%]  Tot:0.26s TF:0.07s  xH=8.807e-01 xHe=2.337e-10  hep=0.7181 lep=0.1414 lee=0.0915 hed=0.0417 rsl=0.0091 out=1.0018  
rs=1417.100 [11.33%]  Tot:0.27s TF:0.07s  xH=8.503e-01 xHe=2.556e-10  hep=0.7206 lep=0.1412 lee=0.0904 hed=0.0405 rsl=0.0091 out=1.0018  
rs=1400.196 [11.51%]  Tot:0.27s TF:0.07s  xH=8.168e-01 xHe=2.868e-10  hep=0.7233 lep=0.1409 lee=0.0893 hed=0.0393 rsl=0.0091 out=1.0018  
rs=1383.494 [11.69%]  Tot:0.27s TF:0.07s  xH=7.808e-01 xHe=3.295e-10  hep=0.7261 lep=0.1405 lee=0.0881 hed=0.0380 rsl=0.0091 out=1.0018  
rs=1366.991 [11.87%]  Tot:0.28s TF:0.07s  xH=7.429e-01 xHe=3.822e-10  hep=0.7290 lep=0.1400 lee=0.0870 hed=0.0366 rsl=0.0092 out=1.0017  
rs=1350.686 [12.05%]  Tot:0.30s TF:0.07s  xH=7.037e-01 xHe=4.485e-10  hep=0.7320 lep=0.1394 lee=0.0858 hed=0.0352 rsl=0.0092 out=1.0017  
rs=1334.574 [12.24%]  Tot:0.29s TF:0.07s  xH=6.636e-01 xHe=5.449e-10  hep=0.7352 lep=0.1387 lee=0.0847 hed=0.0339 rsl=0.0092 out=1.0017  
rs=1318.655 [12.42%]  Tot:0.27s TF:0.07s  xH=6.233e-01 xHe=6.105e-10  hep=0.7383 lep=0.1381 lee=0.0835 hed=0.0325 rsl=0.0093 out=1.0017  
